Cluster,Industry
0,E-commerce & direct-to-consumer
0,Fintech
0,Fintech
0,Internet software & services
0,Health
0,Internet software & services
2,"Supply chain, logistics, & delivery"
1,Artificial intelligence
0,Mobile & telecommunications
1,Other
0,Artificial intelligence
0,Artificial intelligence
0,Fintech
0,Data management & analytics
1,Fintech
2,E-commerce & direct-to-consumer
1,Internet software & services
0,Internet software & services
0,E-commerce & direct-to-consumer
0,Fintech
1,Artificial intelligence
0,Internet software & services
0,Artificial intelligence
0,Fintech
1,Consumer & retail
0,Artificial intelligence
0,Auto & transportation
0,E-commerce & direct-to-consumer
1,Internet software & services
0,Other
0,Artificial intelligence
0,Hardware
2,Artificial intelligence
0,Consumer & retail
0,Cybersecurity
1,Travel
1,Data management & analytics
1,Internet software & services
0,Mobile & telecommunications
0,Mobile & telecommunications
1,Data management & analytics
0,E-commerce & direct-to-consumer
0,Fintech
0,Health
0,"Supply chain, logistics, & delivery"
0,Fintech
0,Consumer & retail
1,Health
0,Fintech
0,Artificial intelligence
0,Health
2,Internet software & services
0,Fintech
0,Fintech
0,Internet software & services
1,Fintech
0,Internet software & services
1,Fintech
0,Fintech
0,"Supply chain, logistics, & delivery"
0,Internet software & services
0,Fintech
0,Other
0,Artificial intelligence
0,Fintech
2,Other
2,Fintech
1,Internet software & services
0,Mobile & telecommunications
0,E-commerce & direct-to-consumer
0,Health
0,Artificial intelligence
2,"Vision Plus Capital, GSR Ventures, ZhenFund"
0,Fintech
1,Hardware
0,Travel
0,Internet software & services
1,Data management & analytics
1,Fintech
0,Internet software & services
0,Fintech
2,Artificial intelligence
0,Cybersecurity
0,"Supply chain, logistics, & delivery"
0,Health
1,Internet software & services
0,Hardware
1,Data management & analytics
1,E-commerce & direct-to-consumer
0,Internet software & services
1,Edtech
0,Fintech
0,Internet software & services
0,Internet software & services
0,Fintech
0,Health
1,Fintech
0,Auto & transportation
0,Fintech
0,Internet software & services
0,Internet software & services
0,Health
1,Other
0,Internet software & services
1,Artificial intelligence
0,Hardware
0,Auto & transportation
0,Cybersecurity
0,E-commerce & direct-to-consumer
2,Cybersecurity
0,Mobile & telecommunications
0,Consumer & retail
0,Consumer & retail
0,Health
0,Health
0,Internet software & services
0,E-commerce & direct-to-consumer
0,Cybersecurity
0,Data management & analytics
0,Artificial intelligence
0,Fintech
0,E-commerce & direct-to-consumer
0,Internet software & services
0,Fintech
0,Fintech
0,Fintech
1,Internet software & services
1,Other
0,Data management & analytics
1,Health
0,E-commerce & direct-to-consumer
0,Fintech
1,Hardware
0,Artificial intelligence
0,Auto & transportation
0,Cybersecurity
2,Internet software & services
0,E-commerce & direct-to-consumer
0,Internet software & services
0,Internet software & services
0,Fintech
0,Data management & analytics
0,Artificial intelligence
0,Fintech
0,Fintech
0,Fintech
0,Health
0,"Supply chain, logistics, & delivery"
0,Fintech
2,Consumer & retail
0,Fintech
0,Hardware
0,Other
0,Internet software & services
0,Mobile & telecommunications
1,Data management & analytics
0,Travel
2,E-commerce & direct-to-consumer
0,Auto & transportation
0,Data management & analytics
2,Travel
0,E-commerce & direct-to-consumer
0,Consumer & retail
0,Mobile & telecommunications
2,Fintech
0,Internet software & services
0,Internet software & services
1,Health
0,Cybersecurity
1,Fintech
0,Fintech
0,Hardware
0,Hardware
0,"Supply chain, logistics, & delivery"
0,Internet software & services
0,Internet software & services
0,Artificial Intelligence
0,Internet software & services
0,Fintech
0,Fintech
0,Internet software & services
0,Data management & analytics
0,Cybersecurity
0,E-commerce & direct-to-consumer
0,Fintech
0,Internet software & services
0,Internet software & services
0,Fintech
1,Data management & analytics
0,Fintech
1,Internet software & services
0,Health
0,Other
0,E-commerce & direct-to-consumer
0,Internet software & services
0,Internet software & services
1,Other
0,E-commerce & direct-to-consumer
0,Fintech
0,Artificial intelligence
0,Health
0,"Supply chain, logistics, & delivery"
0,"Supply chain, logistics, & delivery"
0,Internet software & services
0,E-commerce & direct-to-consumer
0,E-commerce & direct-to-consumer
1,Auto & transportation
0,Hardware
0,"Supply chain, logistics, & delivery"
0,Internet software & services
1,E-commerce & direct-to-consumer
1,Fintech
0,Fintech
1,Cybersecurity
0,Auto & transportation
0,Internet software & services
0,Health
0,Health
0,Internet software & services
0,Internet software & services
0,Fintech
0,Artificial intelligence
1,Data management & analytics
1,E-commerce & direct-to-consumer
1,Fintech
0,Mobile & telecommunications
0,Auto & transportation
0,"Supply chain, logistics, & delivery"
0,Internet software & services
0,E-commerce & direct-to-consumer
0,Internet software & services
0,Internet software & services
1,Internet software & services
0,E-commerce & direct-to-consumer
0,Other
0,Fintech
0,Internet software & services
0,Internet software & services
0,Edtech
0,Mobile & telecommunications
0,Fintech
0,Internet software & services
0,Cybersecurity
0,Cybersecurity
1,Mobile & telecommunications
0,Fintech
0,Artificial intelligence
0,Travel
0,Health
1,Fintech
0,Fintech
0,Other
0,Fintech
0,E-commerce & direct-to-consumer
0,E-commerce & direct-to-consumer
0,Internet software & services
0,E-commerce & direct-to-consumer
0,Other
0,Cybersecurity
0,Health
0,Artificial intelligence
0,Health
0,Health
0,"Hopu Investment Management, Boyu Capital, DC Thomson Ventures"
0,Health
0,E-commerce & direct-to-consumer
0,Other
1,Mobile & telecommunications
0,Internet software & services
0,Fintech
1,Fintech
0,"Supply chain, logistics, & delivery"
1,Data management & analytics
0,Fintech
0,Travel
0,Fintech
1,Internet software & services
0,Fintech
0,"Supply chain, logistics, & delivery"
0,Artificial Intelligence
0,Mobile & telecommunications
0,Internet software & services
1,Other
0,Fintech
0,Cybersecurity
2,Internet software & services
0,Fintech
0,Internet software & services
1,Internet software & services
1,Cybersecurity
0,Internet software & services
0,Internet software & services
1,"Supply chain, logistics, & delivery"
0,Fintech
0,Consumer & retail
0,Hardware
2,Health
0,Other
0,Mobile & telecommunications
0,Other
0,Internet software & services
2,"Supply chain, logistics, & delivery"
0,Consumer & retail
0,Internet software & services
0,Data management & analytics
0,Internet software & services
0,Fintech
1,Cybersecurity
1,E-commerce & direct-to-consumer
0,Edtech
0,Artificial intelligence
0,Other
0,Artificial intelligence
0,Artificial intelligence
1,Other
1,Internet software & services
0,"Supply chain, logistics, & delivery"
1,Artificial Intelligence
1,"Supply chain, logistics, & delivery"
1,Health
0,Fintech
0,Internet software & services
0,Edtech
0,Fintech
0,E-commerce & direct-to-consumer
0,Internet software & services
0,Data management & analytics
0,Internet software & services
0,E-commerce & direct-to-consumer
0,E-commerce & direct-to-consumer
0,Fintech
0,Health
1,E-commerce & direct-to-consumer
1,E-commerce & direct-to-consumer
0,Internet software & services
0,Artificial intelligence
0,Fintech
0,E-commerce & direct-to-consumer
0,"Supply chain, logistics, & delivery"
1,Internet software & services
0,Data management & analytics
0,Consumer & retail
0,Artificial intelligence
0,Edtech
0,"Supply chain, logistics, & delivery"
0,Health
1,Internet software & services
0,Auto & transportation
1,Auto & transportation
0,Other
0,Cybersecurity
1,Fintech
0,Artificial intelligence
0,Fintech
0,Health
0,"Supply chain, logistics, & delivery"
0,Fintech
0,Mobile & telecommunications
0,E-commerce & direct-to-consumer
0,E-commerce & direct-to-consumer
0,Other
0,Consumer & retail
0,Travel
0,Fintech
1,Data management & analytics
1,E-commerce & direct-to-consumer
0,"Supply chain, logistics, & delivery"
0,Data management & analytics
0,Fintech
0,Health
0,Fintech
0,Internet software & services
1,Artificial intelligence
1,Internet software & services
0,Fintech
1,"500 Global, Rakuten Ventures, Golden Gate Ventures"
0,Internet software & services
0,Internet software & services
0,Internet software & services
1,Fintech
0,E-commerce & direct-to-consumer
0,Fintech
0,Fintech
0,Internet software & services
0,E-commerce & direct-to-consumer
0,Edtech
0,Cybersecurity
1,Cybersecurity
0,Internet software & services
0,"Supply chain, logistics, & delivery"
0,Other
0,Fintech
0,"Supply chain, logistics, & delivery"
0,E-commerce & direct-to-consumer
0,E-commerce & direct-to-consumer
0,Data management & analytics
0,Mobile & telecommunications
0,Hardware
0,Internet software & services
0,Health
0,Artificial intelligence
0,Auto & transportation
1,Cybersecurity
0,E-commerce & direct-to-consumer
1,E-commerce & direct-to-consumer
0,Mobile & telecommunications
0,Mobile & telecommunications
0,Other
0,E-commerce & direct-to-consumer
0,E-commerce & direct-to-consumer
0,Artificial intelligence
1,Mobile & telecommunications
0,Internet software & services
0,E-commerce & direct-to-consumer
1,Internet software & services
1,E-commerce & direct-to-consumer
0,Edtech
1,Edtech
0,Health
1,Artificial intelligence
1,Internet software & services
0,Consumer & retail
0,Consumer & retail
2,E-commerce & direct-to-consumer
0,Health
0,E-commerce & direct-to-consumer
2,E-commerce & direct-to-consumer
0,Mobile & telecommunications
0,"Supply chain, logistics, & delivery"
0,Other
2,"Sequoia Capital China, ING, Alibaba Entrepreneurs Fund"
1,Mobile & telecommunications
2,Health
1,Hardware
1,Mobile & telecommunications
0,Edtech
0,Hardware
0,Health
0,Internet software & services
1,Mobile & telecommunications
0,Consumer & retail
0,Mobile & telecommunications
1,"Supply chain, logistics, & delivery"
0,Auto & transportation
0,Fintech
0,Artificial intelligence
0,E-commerce & direct-to-consumer
1,Travel
0,Hardware
0,Hardware
0,"Supply chain, logistics, & delivery"
0,Hardware
0,"Supply chain, logistics, & delivery"
0,Artificial intelligence
0,Other
0,Artificial intelligence
0,Fintech
0,Mobile & telecommunications
0,Internet software & services
0,Other
0,Edtech
1,Travel
0,Artificial intelligence
0,Fintech
0,Fintech
0,Fintech
1,Fintech
0,E-commerce & direct-to-consumer
0,Health
0,E-commerce & direct-to-consumer
1,Other
0,Edtech
1,Health
0,E-commerce & direct-to-consumer
2,Mobile & telecommunications
2,E-commerce & direct-to-consumer
0,Other
1,"Supply chain, logistics, & delivery"
0,Other
0,Fintech
1,Data management & analytics
0,Internet software & services
0,E-commerce & direct-to-consumer
1,Fintech
0,Internet software & services
1,Internet software & services
1,"Supply chain, logistics, & delivery"
1,Other
0,Hardware
0,Artificial intelligence
0,Other
0,Fintech
1,"Supply chain, logistics, & delivery"
0,Internet software & services
1,Cybersecurity
0,"Sequoia Capital China, Shunwei Capital Partners, Qualgro"
0,Health
0,Fintech
0,Artificial intelligence
0,Edtech
0,Internet software & services
0,E-commerce & direct-to-consumer
0,E-commerce & direct-to-consumer
1,Fintech
0,Artificial intelligence
1,Health
0,Fintech
0,Artificial intelligence
2,Health
0,Artificial intelligence
0,Internet software & services
1,Internet software & services
0,Other
0,Internet software & services
0,Artificial intelligence
0,Artificial intelligence
0,Consumer & retail
0,Fintech
0,Data management & analytics
0,Fintech
0,Other
0,"Supply chain, logistics, & delivery"
0,Health
1,Health
0,Hardware
0,"SingTel Innov8, Alpha JWC Ventures, Golden Gate Ventures"
0,Artificial intelligence
0,"Supply chain, logistics, & delivery"
2,Cybersecurity
0,Edtech
0,Internet software & services
0,Fintech
0,Internet software & services
0,Internet software & services
0,"Supply chain, logistics, & delivery"
0,"Supply chain, logistics, & delivery"
0,"Supply chain, logistics, & delivery"
0,"Mundi Ventures, Doqling Capital Partners, Activant Capital"
0,Fintech
0,Fintech
0,Artificial intelligence
0,Fintech
0,Internet software & services
0,Fintech
0,Internet software & services
0,Fintech
0,"Supply chain, logistics, & delivery"
0,"Vertex Ventures SE Asia, Global Founders Capital, Visa Ventures"
0,Artificial intelligence
0,Fintech
0,Artificial intelligence
0,Fintech
0,Artificial intelligence
0,E-commerce & direct-to-consumer
0,Health
0,Fintech
0,Artificial intelligence
0,Hardware
0,"Andreessen Horowitz, DST Global, IDG Capital"
0,E-commerce & direct-to-consumer
1,Hardware
0,E-commerce & direct-to-consumer
0,Fintech
0,Fintech
0,Internet software & services
0,Internet software & services
0,"Supply chain, logistics, & delivery"
0,Consumer & retail
0,"B Capital Group, Monk's Hill Ventures, Dynamic Parcel Distribution"
0,Edtech
0,Health
0,Fintech
1,E-commerce & direct-to-consumer
0,Fintech
0,Data management & analytics
0,Internet software & services
0,Fintech
0,Fintech
0,Fintech
0,Health
0,"Supply chain, logistics, & delivery"
0,"Supply chain, logistics, & delivery"
1,Artificial intelligence
0,Internet software & services
0,Internet software & services
0,Internet software & services
0,Cybersecurity
0,Consumer & retail
1,Internet software & services
1,Cybersecurity
0,Fintech
0,Hardware
0,Other
0,E-commerce & direct-to-consumer
0,Internet software & services
0,Artificial Intelligence
0,Cybersecurity
0,Internet software & services
0,Fintech
0,Fintech
1,Internet software & services
0,Fintech
0,Internet software & services
0,Artificial Intelligence
0,Data management & analytics
1,Cybersecurity
0,E-commerce & direct-to-consumer
0,Other
0,Fintech
0,E-commerce & direct-to-consumer
0,Internet software & services
0,Health
1,Cybersecurity
0,Consumer & retail
0,Travel
0,Artificial Intelligence
1,Consumer & retail
0,Other
1,"Temasek, Guggenheim Investments, Qatar Investment Authority"
2,Data management & analytics
0,"Supply chain, logistics, & delivery"
1,Fintech
0,Artificial intelligence
1,Cybersecurity
0,Internet software & services
0,Data management & analytics
0,Internet software & services
0,Fintech
0,Artificial intelligence
0,Data management & analytics
1,"Supply chain, logistics, & delivery"
0,Fintech
0,Internet software & services
0,Cybersecurity
0,Internet software & services
0,Internet software & services
2,Fintech
0,Health
0,Cybersecurity
0,Internet software & services
