Company,Cluster,Valuation ($B),Year Joined,Country,City,Industry,Select Inverstors,Founded Year,Investors Count,Total Raised($),Transition Time(Years),xcoord,ycoord
VAST Data,2,3.7,2020,United States,New York,Data management & analytics,"Norwest Venture Partners, Goldman Sachs, Dell Technologies Capital",2016,11,2630000000.0,4,39.7837304,-100.445882
Papaya Global,2,3.7,2021,United States,New York,Internet software & services,"Bessemer Venture Partners, Insight Partners, New Era Ventures",2016,16,4380000000.0,5,39.7837304,-100.445882
Applied Intuition,2,3.6,2020,United States,Sunnyvale,Data management & analytics,"Andreessen Horowitz, Lux Capital, General Catalyst",2017,21,3400000000.0,3,39.7837304,-100.445882
Tekion,2,3.5,2020,United States,San Ramon,Internet software & services,"Airbus Ventures, Index Ventures, Advent International",2016,14,4000000000.0,4,39.7837304,-100.445882
Komodo Health,2,3.3,2020,United States,San Francisco,Health,"Andreessen Horowitz, IA Ventures, Felicis Ventures",2014,10,3150000000.0,6,39.7837304,-100.445882
Blockstream,2,3.2,2021,Canada,Vancouver,Fintech,"AME Cloud Ventures, Future Perfect Ventures, Blockchain Capital",2014,23,3110000000.0,7,61.0666922,-107.991707
Skims,2,3.2,2021,United States,Los Angeles,E-commerce & direct-to-consumer,"Thrive Capital, Alliance Consumer Growth, Imaginary Ventures",2019,5,3940000000.0,2,39.7837304,-100.445882
HighRadius,2,3.1,2020,United States,Houston,Fintech,"Susquehanna Growth Equity, Citi Ventures, ICONIQ Capital",2006,11,4750000000.0,14,39.7837304,-100.445882
Zuoyebang,2,3.0,2018,China,Beijing,Edtech,"Sequoia Capital China, Xiang He Capital, GGV Capital",2014,17,3435000000.0,4,35.000074,104.999927
ActiveCampaign,2,3.0,2021,United States,Chicago,Internet software & services,"Silversmith Capital Partners, Susquehanna Growth Equity, Tiger Global Management",2003,4,3600000000.0,18,39.7837304,-100.445882
Contentful,2,3.0,2021,Germany,Berlin,Internet software & services,"Balderton Capital, General Catalyst, Tiger Global Management",2013,13,3310000000.0,8,51.0834196,10.4234469
Anchorage Digital,2,3.0,2021,United States,San Francisco,Fintech,"Andreessen Horowitz, Blockchain Capital, Lux Capital",2017,28,4870000000.0,4,39.7837304,-100.445882
Amber Group,2,3.0,2021,Hong Kong,Fintech,"Tiger Global Management, Tiger Brokers, DCM Ventures",None,2015,18,3280000000.0,6,22.2793278,114.1628131
Hozon Auto,2,3.95,2021,China,Shanghai,Auto & transportation,"HD Capital, Qihoo 360 Technology, China Fortune Land Development",2014,13,3146000000.0,7,35.000074,104.999927
o9 Solutions,2,2.7,2020,United States,Dallas,Artificial intelligence,KKR,2009,3,4200000000.0,11,39.7837304,-100.445882
Sourcegraph,2,2.62,2021,United States,San Francisco,Internet software & services,"Redpoint Ventures, Goldcrest Capital, Insight Partners",2013,8,2230000000.0,8,39.7837304,-100.445882
Vercel,2,2.5,2021,United States,San Francisco,Internet software & services,"CRV, Accel, Google Ventures",2015,16,3130000000.0,6,39.7837304,-100.445882
Somatus,2,2.5,2022,United States,McLean,Health,"The Blue Venture Fund, Flare Capital Partners, Longitude Capital",2016,14,4650000000.0,6,39.7837304,-100.445882
Exabeam,2,2.4,2021,United States,Foster City,Cybersecurity,"Norwest Venture Partners, Aspect Ventures, Lightspeed Venture Partners",2013,9,3900000000.0,8,39.7837304,-100.445882
BitSight Technologies,2,2.4,2021,United States,Boston,Cybersecurity,"Menlo Ventures, GGV Capital, Flybridge Capital Partners",2013,9,3900000000.0,8,39.7837304,-100.445882
Uptake,2,2.3,2015,United States,Chicago,Artificial intelligence,"Revolution, New Enterprise Associates, Caterpillar",2014,8,3170000000.0,1,39.7837304,-100.445882
Skydance Media,2,2.3,2020,United States,Santa Monica,Other,"RedBird Capital Partners, CJ ENM, Tencent Holdings",2010,4,2075000000.0,10,39.7837304,-100.445882
Odoo,2,2.3,2021,Belgium,Louvain-la-Neuve,Internet software & services,"Summit Partners, Noshaq, Sofinnova Partners",2005,6,3190000000.0,16,50.6402809,4.6667145
Pattern,2,2.25,2021,United States,Lehi,Internet software & services,"Knox Lane, Ainge Advisory, Carlson Private Capital Partners,/td>",2013,5,2770000000.0,8,39.7837304,-100.445882
BloomReach,2,2.2,2022,United States,Mountain View,Artificial intelligence,"Bain Capital Ventures, Sixth Street Growth, Lightspeed Venture Partners",2009,8,4220000000.0,13,39.7837304,-100.445882
Accelerant,2,2.19,2022,United Kingdom,Colchester,Other,"Deer Park Road, Altamont Capital Partners, Eldridge",2018,5,1900000000.0,4,54.7023545,-3.2765753
CloudWalk,2,2.15,2021,Brazil,Sao Paulo,Fintech,"Plug and Play Ventures, Valor Capital Group, DST Global",2013,14,3450000000.0,8,-10.3333333,-53.2
Eightfold.ai,2,2.1,2020,United States,Santa Clara,Internet software & services,"Foundation Capital, Institutional Venture Partners, General Catalyst",2016,6,3970000000.0,4,39.7837304,-100.445882
Moveworks,2,2.1,2021,United States,Mountain View,Artificial intelligence,"Lightspeed Venture Partners, Sapphire Ventures, Kleiner Perkins Caufield & Byers",2016,11,3050000000.0,5,39.7837304,-100.445882
Trendy Group International,2,2.0,2012,Hong Kong,Kowloon,Consumer & retail,L Capital Partners,1999,1,2000000000.0,13,22.2793278,114.1628131
Quora,2,2.0,2017,United States,Mountain View,Internet software & services,"Y Combinator, Matrix Partners, Benchmark",2009,10,2860000000.0,8,39.7837304,-100.445882
Mafengwo,2,2.0,2019,China,Beijing,Travel,"Qiming Venture Partners, Capital Today, General Atlantic",2010,13,4880000000.0,9,35.000074,104.999927
Druva,2,2.0,2019,United States,Sunnyvale,Data management & analytics,"Nexus Venture Partners, Tenaya Capital, Sequoia Capital",2007,16,4750000000.0,12,39.7837304,-100.445882
Kujiale,2,2.0,2019,China,Hangzhou,Internet software & services,"GGV Capital, IDG Capital, Linear Venture",2011,15,3120000000.0,8,35.000074,104.999927
Redis Labs,2,2.0,2020,United States,Mountain View,Data management & analytics,"Viola Ventures, Dell Technologies Capital, Bain Capital Ventures",2011,13,3550000000.0,9,39.7837304,-100.445882
Arrail Dental,2,1.05,2021,China,Beijing,Health,"Qiming Venture Partners, Kleiner Perkins Caufield & Byers, OrbiMed Advisors",1999,15,4490000000.0,22,35.000074,104.999927
Pipe,2,2.0,2021,United States,Miami,Fintech,"next47, MaC Venture Capital, FinVC",2019,36,3660000000.0,2,39.7837304,-100.445882
Bunq,2,2.0,2021,Netherlands,Amsterdam,Fintech,Undisclosed,2013,1,2280000000.0,8,52.15517,5.38721
Aviatrix,2,2.0,2021,United States,Santa Clara,Internet software & services,"Ignition Partners, Formation 8, CRV",2014,12,3400000000.0,7,39.7837304,-100.445882
Magic Leap,2,2.0,2014,United States,Plantation,Hardware,"Obvious Ventures, Qualcomm Ventures, Andreessen Horowitz",2010,26,3484000000.0,4,39.7837304,-100.445882
ClickHouse,2,2.0,2021,United States,Portola Valley,Data management & analytics,"Lightspeed Venture Partners, Almaz Capital Partners, Altimeter Capital",2021,11,3000000000.0,0,39.7837304,-100.445882
Mynt,2,2.0,2021,Philippines,Taguig City,Fintech,"Insight Partners, Warburg Pincus, Ayala Corporation",2015,7,4750000000.0,6,12.7503486,122.7312101
LTK,2,2.0,2021,United States,Dallas,Internet software & services,"SoftBank Group, Maverick Capital",2011,5,3150000000.0,10,39.7837304,-100.445882
Dremio,2,2.0,2021,United States,Santa Clara,Data management & analytics,"Lightspeed Venture Partners, Redpoint Ventures, Norwest Venture Partners",2015,9,4050000000.0,6,39.7837304,-100.445882
Akulaku,2,2.0,2022,Indonesia,Jakarta,E-commerce & direct-to-consumer,"DCM Ventures, IDG Capital, Siam Commercial Bank",2014,15,4550000000.0,8,-2.4833826,117.8902853
Fenbi Education,2,1.95,2021,China,Beijing,Edtech,"Trustbridge Partners, Hony Capital, IDG Capital",2015,8,3900000000.0,6,35.000074,104.999927
CoinSwitch Kuber,2,1.9,2021,India,Bangalore,Fintech,"Tiger Global Management, Sequoia Capital India, Ribbit Capital",2017,7,3000000000.0,4,22.3511148,78.6677428
Diamond Foundry,2,1.8,2021,United States,San Francisco,Other,"Fashion Tech Lab, Fidelity Investments, Vast Ventures",2012,16,3000000000.0,9,39.7837304,-100.445882
Lightricks,2,1.8,2019,Israel,Jerusalem,Artificial intelligence,"Viola Ventures, Insight Partners, ClalTech, Goldman Sachs",2013,16,3350000000.0,6,31.5313113,34.8667654
Hibob,2,1.65,2021,Israel,Tel Aviv,Internet software & services,"Bessemer Venture Partners, Eight Roads Ventures, Battery Ventures",2015,15,2650000000.0,6,31.5313113,34.8667654
Trader Interactive,2,1.63,2021,United States,Norfolk,Other,Carsales,2015,15,2650000000.0,6,39.7837304,-100.445882
Transcarent,2,1.62,2022,United States,San Francisco,Health,"Alta Partners, General Catalyst, Jove Equity Partners",2020,15,2980000000.0,2,39.7837304,-100.445882
Infinidat,2,1.6,2015,United States,Waltham,Hardware,"TPG Growth, Goldman Sachs",2011,6,3250000000.0,4,39.7837304,-100.445882
Mu Sigma,2,1.5,2013,United States,Northbrook,Data management & analytics,"Sequoia Capital, General Atlantic",2004,8,2080000000.0,9,39.7837304,-100.445882
K Health,2,1.5,2021,United States,New York,Health,"Max Ventures, Mangrove Capital Partners, 14W",2016,19,2780000000.0,5,39.7837304,-100.445882
Snapdocs,2,1.5,2021,United States,San Francisco,Fintech,"Sequoia Capital, Y Combinator, F-Prime Capital",2012,13,2500000000.0,9,39.7837304,-100.445882
Devo,2,1.5,2021,United States,Cambridge,Data management & analytics,"Insight Partners, Kibo Ventures, Bessemer Venture Partners",2011,10,3810000000.0,10,39.7837304,-100.445882
Lusha,2,1.5,2021,United States,New York,Internet software & services,"PSG, ION Crossover Partners",2016,2,2450000000.0,5,39.7837304,-100.445882
StoreDot,2,1.5,2022,Israel,Herzliya,Other,"Samsung Ventures, SingulariTeam, BP Ventures",2012,14,2060000000.0,10,31.5313113,34.8667654
Bordrin Motors,2,1.48,2019,China,Shanghai,Auto & transportation,"China Grand Prosperity Investment, CSC Group",2016,7,3610000000.0,3,35.000074,104.999927
Gymshark,2,1.45,2020,United Kingdom,Solihull,E-commerce & direct-to-consumer,General Atlantic,2012,1,3000000000.0,8,54.7023545,-3.2765753
Zeta,2,1.45,2021,United States,San Francisco,Fintech,"Sodexo Ventures, SoftBank Group",2015,5,3030000000.0,6,39.7837304,-100.445882
Aleo,2,1.45,2022,United States,San Francisco,Cybersecurity,"Slow Ventures, Andreessen Horowitz, SoftBank Group",2019,18,2280000000.0,3,39.7837304,-100.445882
Firebolt,2,1.4,2022,Israel,Tel Aviv,Data management & analytics,"TLV Partners, Zeev Ventures, Bessemer Venture Partners",2019,9,2640000000.0,3,31.5313113,34.8667654
Koudai,2,1.4,2014,China,Beijing,E-commerce & direct-to-consumer,"New Enterprise Associates, Tiger Global management, Tencent",2010,11,3620000000.0,4,35.000074,104.999927
Symphony,2,1.4,2017,United States,New York,Fintech,"BNP Paribas, Goldman Sachs, Google",2014,26,4610000000.0,3,39.7837304,-100.445882
Yotpo,2,1.4,2021,United States,New York,Internet software & services,"Bessemer Venture Partners, Vintage Investment Partners, Blumberg Capital",2011,20,4360000000.0,10,39.7837304,-100.445882
Tripledot Studios,2,1.4,2022,United Kingdom,London,Mobile & telecommunications,"Lightspeed Venture Partners, Access Industries, Eldridge",2017,5,2020000000.0,5,54.7023545,-3.2765753
At-Bay,2,1.35,2021,United States,Mountain View,Fintech,"Lightspeed Venture Partners, Khosla Ventures, Munich Re Ventures",2016,11,2920000000.0,5,39.7837304,-100.445882
TalkingData,2,1.3,2021,China,Beijing,Mobile & telecommunications,"N5 Capital, CR Capital Mgmt, JD Digits",2013,7,3100000000.0,8,35.000074,104.999927
Betterment,2,1.3,2021,United States,New York,Fintech,"Bessemer Venture Partners, Menlo Ventures, Anthermis",2010,20,4350000000.0,11,39.7837304,-100.445882
YugaByte,2,1.3,2021,United States,Sunnyvale,Data management & analytics,"Lightspeed Venture Partners, Dell Technologies Capital, Wipro Ventures",2016,10,2900000000.0,5,39.7837304,-100.445882
Domestika,2,1.3,2022,United States,Berkeley,Internet software & services,"Zeev Ventures, GSV Ventures",2012,2,2000000000.0,10,39.7837304,-100.445882
OVO Energy,2,1.28,2019,United Kingdom,Bristol,Other,"Mitsubishi Corporation, Mayfair Equity Partners",2009,2,2560000000.0,10,54.7023545,-3.2765753
Mythical Games,2,1.25,2021,United States,Sherman Oaks,Internet software & services,"Javelin Venture Partners, Struck Capital, Alumni Ventures Group",2018,31,2600000000.0,3,39.7837304,-100.445882
Incode Technologies,2,1.25,2021,United States,San Francisco,Cybersecurity,"Dila Capital, Framework Ventures, 3L",2015,12,2550000000.0,6,39.7837304,-100.445882
Route,2,1.25,2022,United States,Lehi,"Supply chain, logistics, & delivery","Madrona Venture Group, Banner Ventures, FJ Labs",2018,11,2470000000.0,4,39.7837304,-100.445882
Axonius,2,1.2,2021,United States,New York,Cybersecurity,"Vertex Ventures Israel, Bessemer Venture Partners, Emerge",2017,14,1950000000.0,4,39.7837304,-100.445882
Savage X Fenty,2,1.2,2021,United States,El Segundo,E-commerce & direct-to-consumer,"Speedinvest, Valar Ventures, Uniqa Ventures",2018,9,3100000000.0,3,39.7837304,-100.445882
Inari,2,1.2,2021,United States,Cambridge,Other,"Flagship Pioneering, Alexandria Venture Investments, Investment Corporation of Dubai",2016,10,3970000000.0,5,39.7837304,-100.445882
Alation,2,1.2,2021,United States,Redwood City,Internet software & services,"Costanoa Ventures, Data Collective, Salesforce Ventures",2012,16,1920000000.0,9,39.7837304,-100.445882
SmartMore,2,1.2,2021,China,Shenzhen,Artificial Intelligence,"IDG Capital, ZhenFund, Sequoia Capital China",2019,10,3000000000.0,2,35.000074,104.999927
Rohlik,2,1.2,2021,Czech Republic,Prague,"Supply chain, logistics, & delivery","Partech Partners, Index Ventures, Quadrille Capital",2019,10,3000000000.0,2,49.8167003,15.4749544
Prime Medicine,2,1.2,2021,United States,Cambridge,Health,"Newpath Partners, Google Ventures, F-Prime Capital",2019,11,3150000000.0,2,39.7837304,-100.445882
Jokr,2,1.2,2021,United States,New York,E-commerce & direct-to-consumer,"GGV Capital, Tiger Global Management, Greycroft",2021,15,4300000000.0,0,39.7837304,-100.445882
Merama,2,1.2,2021,Mexico,Mexico City,E-commerce & direct-to-consumer,"SoftBank Latin America Fund, Advent International, Balderton Capital",2020,12,4450000000.0,1,23.6585116,-102.0077097
Helium Systems,2,1.2,2022,United States,San Francisco,Internet software & services,"FirstMark Capital, Tiger Global Management, FTX Venture",2013,16,2510000000.0,9,39.7837304,-100.445882
IRL,2,1.17,2021,United States,San Francisco,Internet software & services,"Goodwater Capital, Floodgate, Founders Fund",2017,12,1970000000.0,4,39.7837304,-100.445882
SVOLT,2,1.16,2020,China,Changzhou,Auto & transportation,"IDG Capital, Bank Of China Group Investment,, SDIC CMC Investment Management",2018,30,3207000000.0,2,35.000074,104.999927
Guideline,2,1.15,2021,United States,San Mateo,Fintech,"Pelion Venture Partners, Foundation Capital, Thoma Bravo",2015,14,3390000000.0,6,39.7837304,-100.445882
Sisense,2,1.1,2020,United States,New York,Data management & analytics,"Opus Capital, Genesis Partners, Battery Ventures",2004,10,2780000000.0,16,39.7837304,-100.445882
Pharmapacks,2,1.1,2020,United States,Islandia,E-commerce & direct-to-consumer,The Carlyle Group,2010,10,4760000000.0,10,39.7837304,-100.445882
Hailo,2,1.0,2021,Israel,Tel Aviv,Artificial intelligence,"Glory Ventures, Maniv Mobility",2017,18,2170000000.0,4,31.5313113,34.8667654
People.ai,2,1.1,2021,United States,San Francisco,Internet software & services,"GGV Capital, Lightspeed Venture Partners, ICONIQ Capital",2017,18,2170000000.0,4,39.7837304,-100.445882
Acko General Insurance,2,1.1,2021,India,Bengaluru,Fintech,"Intact Ventures, Munich Re Ventures, General Atlantic",2016,22,4280000000.0,5,22.3511148,78.6677428
Beyond Identity,2,1.1,2022,United States,New York,Cybersecurity,"New Enterprise Associates, Koch Disruptive Technologies, Evolution Equity Partners",2019,7,2050000000.0,3,39.7837304,-100.445882
Lookout,2,1.0,2013,United States,San Francisco,Cybersecurity,"Accel Partners, Greylock Partners, Lowercase Capital",2007,26,2810000000.0,6,39.7837304,-100.445882
TechStyle Fashion Group,2,1.0,2014,United States,El Segundo,E-commerce & direct-to-consumer,"Matrix Partners, Passport Capital, Rho Ventures",2010,11,3000000000.0,4,39.7837304,-100.445882
FXiaoKe,2,1.0,2015,China,Beijing,Mobile & telecommunications,"IDG Capital, Northern Light Venture Capital, DCM Ventures",2011,14,2930000000.0,4,35.000074,104.999927
58 Daojia,2,1.0,2015,China,Beijing,Internet software & services,"KKR, Alibaba Group, Ping An Insurance",2014,3,3000000000.0,1,35.000074,104.999927
Womai,2,1.0,2015,China,Beijing,E-commerce & direct-to-consumer,"SAIF Partners China, Baidu, IDG Capital",2009,5,3200000000.0,6,35.000074,104.999927
iTutorGroup,2,1.0,2015,China,Shanghai,Edtech,"QiMing Venture Partners, Temasek Holdings, Silverlink Capital",1998,10,3150000000.0,17,35.000074,104.999927
iCarbonX,2,1.0,2016,China,Shenzhen,Artificial intelligence,"Tencent, Vcanbio",2015,3,1990000000.0,1,35.000074,104.999927
SMS Assist,2,1.0,2016,United States,Chicago,Internet software & services,"Goldman Sachs, Insights Venture Partners, Pritzker Group Venture Capital",2003,3,2550000000.0,13,39.7837304,-100.445882
Maimai,2,1.0,2017,China,Beijing,Mobile & telecommunications,"Morningside Venture Capital, IDG Capital, DCM Ventures",2013,5,3000000000.0,4,35.000074,104.999927
Orbbec Technology,2,1.0,2018,China,Shenzhen,Hardware,"R-Z Capital, Green Pine Capital Partners, SAIF Partners China",2013,8,2000000000.0,5,35.000074,104.999927
HMD Global,2,1.0,2018,Finland,Espoo,Mobile & telecommunications,Ginko Ventures,2016,6,3300000000.0,2,63.2467777,25.9209164
Movile,2,1.0,2018,Brazil,Sao Paulo,Mobile & telecommunications,"Innova Capital - FIP, 3G Capital Management, Prosus Ventures",1998,4,3940000000.0,20,-10.3333333,-53.2
FlashEx,2,1.0,2018,China,Beijing,"Supply chain, logistics, & delivery","Prometheus Capital, Matrix Partners China, JD Capital Management",2014,22,3390000000.0,4,35.000074,104.999927
Omio,2,1.0,2018,Germany,Berlin,Travel,"Lakestar, Battery Ventures, New Enterprise Associates",2013,22,3960000000.0,5,51.0834196,10.4234469
Yanolja,2,1.0,2019,South Korea,Seoul,Travel,"SBI Investment Korea, Partners Investment, GIC",2005,11,2036000000.0,14,36.638392,127.6961188
EBANX,2,1.0,2019,Brazil,Curitiba,Fintech,"FTV Capital, Endeavor",2012,3,4600000000.0,7,-10.3333333,-53.2
Emerging Markets Property Group,2,1.0,2020,United Arab Emirates,Dubai,Other,"OLX Group, KCK Group, EXOR Seeds",2015,3,2790000000.0,5,24.0002488,53.9994829
Orca Bio,2,1.0,2020,United States,Menlo Park,Health,"Lightspeed Venture Partners, Data Collective, 8VC",2016,7,1920000000.0,4,39.7837304,-100.445882
Gousto,2,1.7,2020,United Kingdom,London,"Supply chain, logistics, & delivery","MMC Ventures, BGF Ventures, Unilever Ventures",2012,16,3610000000.0,8,54.7023545,-3.2765753
Quantum Metric,2,1.0,2021,United States,Colorado Springs,Data management & analytics,"Insight Partners, Bain Capital Ventures",2015,6,2510000000.0,6,39.7837304,-100.445882
PPRO,2,1.0,2021,United Kingdom,London,Fintech,"Wellington Management, Eurazeo, Citi Ventures",2006,9,3700000000.0,15,54.7023545,-3.2765753
DriveNets,2,1.0,2021,Israel,Ra'anana,Internet software & services,"Bessemer Venture Partners, Pitango Venture Capital, D1 Capital Partners",2015,10,3250000000.0,6,31.5313113,34.8667654
Flash Express,2,1.0,2021,Thailand,Bangkok,"Supply chain, logistics, & delivery","SCB 10X, Krungsri Finnovate, eWTP Capital",2017,10,3600000000.0,4,14.8971921,100.83273
Axiom Space,2,1.0,2021,United States,Houston,Other,"C5 Capital, Hemisphere Ventures, The Venture Collective",2016,12,2300000000.0,5,39.7837304,-100.445882
Skydio,2,1.0,2021,United States,Redwood City,"Supply chain, logistics, & delivery","Andreessen Horowitz, Andreessen Horowitz, Institutional Venture Partners, Accel",2014,12,3440000000.0,7,39.7837304,-100.445882
Aqua Security,2,1.0,2021,Israel,Ramat Gan,Cybersecurity,"TLV Partners, Lightspeed Venture Partners, M12",2015,9,2650000000.0,6,31.5313113,34.8667654
Clearcover,2,1.0,2021,United States,Chicago,Fintech,"American Family Ventures, Cox Enterprises, OMERS Ventures",2016,10,3070000000.0,5,39.7837304,-100.445882
Fiture,2,1.0,2021,China,Chengdu,Health,"Bertelsmann Asia Investments, Sequoia Capital China, NIO Capital",2019,15,3910000000.0,2,35.000074,104.999927
XForcePlus,2,1.0,2021,China,Shanghai,Internet software & services,"Eastern Bell Capital, Danhua Capital, MSA Capital",2015,12,2000000000.0,6,35.000074,104.999927
LetsGetChecked,2,1.0,2021,Ireland,Dublin,Health,"Optum Ventures, Qiming Venture Partners, Transformation Capital",2015,10,2630000000.0,6,52.865196,-7.9794599
Agile Robots,2,1.0,2021,Germany,Munich,Hardware,"Hillhouse Capital Management, Sequoia Capital China, Linear Venture",2018,14,3500000000.0,3,51.0834196,10.4234469
Licious,2,1.0,2021,India,Bengaluru,E-commerce & direct-to-consumer,"3one4 Capital Partners, Bertelsmann India Investments, Vertex Ventures SE Asia",2015,21,3380000000.0,6,22.3511148,78.6677428
